seq_length,epoch_size,MSE,RMSE,MAE,R2
2,2,1221789.976940828,1105.3460892140652,766.2831308960443,0.23041283019969327
2,10,1824944.0861562665,1350.9049138100972,952.2712138662225,-0.14950489103318843
2,20,1557648.2392418766,1248.057786819936,838.5944659689198,0.018860751351013172
2,30,4222.400250813167,64.97999885205576,43.178592509997216,0.9973403734519711
2,40,2219.0049882932744,47.10631580046644,24.92165901274549,0.998602282060793
2,50,42326.86130712687,205.73492972056755,141.43563958571357,0.9733389453059333
2,100,1275877.1301446394,1129.547312043475,1129.4014411051753,0.19634414413885415
2,150,2332.3732208686106,48.294650023254235,47.05361706880711,0.9985308731125291
2,200,35242.73367822462,187.73048148402705,187.13715952997623,0.9778011309804971
10,2,6355312.9226161195,2520.974597772877,2046.1505126406887,-3.0013674568368733
10,10,4192023.4557723673,2047.4431508035498,1588.6565767956686,-1.6393391542582885
10,20,5932955.014087635,2435.765796230753,2059.2526016398747,-2.7354467679736283
10,30,1967.3052565219643,44.35431497072144,16.99454372744017,0.998761365281779
10,40,80104.31709202983,283.02706070626857,238.28642349001728,0.9495655349363589
10,50,31592.260297384124,177.74211739873058,50.48675713358045,0.9801092025237624
10,100,386881.4562974389,621.9979552196605,541.2422915953624,0.7564156340164941
10,150,150132.10394024113,387.4688425412308,300.634205069723,0.9054753523158315
10,200,19937244.660922825,4465.114182293979,4462.860033833448,-11.552685121344423
20,2,234890743.96949655,15326.145763677721,13505.05487470187,-146.8144728613517
20,10,55864788.89447125,7474.2751417425925,6692.726751207999,-34.155171218748904
20,20,39421793.50655279,6278.6776877422835,5526.457340562587,-23.807753289660834
20,30,3539352.156480954,1881.3166018724637,1439.266321192069,-1.227280072597754
20,40,535334.9484007135,731.6658721033211,729.5401708119176,0.6631188957688923
20,50,6133536.138882598,2476.5976941931035,1857.0522519945862,-2.859774956746351
20,100,12137844.247000523,3483.940907506975,3421.3656774145898,-6.638227963876537
20,150,324896.2511082999,569.9967114890225,503.6776551900111,0.7955459322039558
20,200,2935.323724962932,54.17862793540394,8.377785552211213,0.9981528291760225
30,2,1333976114907.5544,1154978.8374284415,1154971.3873365042,-839927.9405244429
30,10,155185733.91039667,12457.356618095055,11189.08881140516,-96.71163637131582
30,20,10072780.235701323,3173.7643636069333,2417.922466287951,-5.342257209076396
30,30,106708737.58784658,10329.992138808557,9134.270571633742,-66.18842706795544
30,40,4936785.771535054,2221.8878845556214,1837.1541874097145,-2.1084134088629773
30,50,2671978.0591134694,1634.6186280333004,1187.1276978119658,-0.6823927169425095
30,100,44438052.35478102,6666.1872427033595,6640.946409536174,-26.98011584780705
30,150,10109183.95857187,3179.494292898144,2512.753432260942,-5.365178564294156
30,200,56457034.76584063,7513.789640776526,6590.551496415397,-34.54778595065804
